Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
"C1, C2, C3, C4",CP_Radial_D12.5mm_P2.50mm,4,2200pF,
"C5, C6, C7",CP_Radial_D7.5mm_P2.50mm,3,22pF,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,USB,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,GAIN,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,AudioOut,
J4,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,MIC,
"R1, R2, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,2k2,
"R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,100,
"R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,3k9,
U1,Converter_DCDC_Murata_NMAxxxxSC_THT,1,NMA0515SC,
U2,DIP-8_W8.89mm_SMDSocket_LongPads,1,THAT1512S,
U3,DIP-8_W7.62mm_Socket,1,THAT1512,
